Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CUB,DNK,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,4,4,18,17,12,12,12,8,7,5,4,2,1
IRN,BWA,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
LKA,HKG,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,2,11,13,6,4,8,16,19,29,19
RWA,ETH,,,,,,,,,,,,,,,,,,,,,,60,64,69,57,63,55,46,37,23,22,17,16,7,10
KGZ,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,20,25,56,87,103,156,194
ROU,CAN,,,,,,,,,,,,,,,,,,,,3085,2099,1113,817,642,,572,730,695,715,711,697,654,1286,1203,1088
GAB,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,3
COM,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
PER,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4
KEN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,32,53,74,91,100,105,107,110
BTN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,8,10,12,12
SEN,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,,1,1,1
LBY,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,6,6,6,6,6,6,1,6
PAK,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
*VA,AZE,,,,,,,,,,,,,,,,,,51000,28840,1025,33682,,,,,,,,,,,,,,
LBR,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,18,9,9,4,6,,
CZE,ESP,,,,,,,,,,,,,,,,,13,8,8,7,,,,,,,,,,,,,,,
COG,BEN,,,,,,,,,,,,,,,,,,,,,,,18,103,383,1238,1241,1243,1179,1140,1126,252,287,272,266
CAF,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,29,,,
PER,ITA,,,,,,,,,,,,,,,,,,,2,3,4,5,5,5,,8,8,8,6,7,5,5,6,8,15
SLE,MOZ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1
MKD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186,3198,2971,6539,6014,5926,5729,6081
SDN,PRT,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,5,5,5,5,5,6,2,2,2
PAK,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,3,2,13,25
PAK,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3
ARG,PAN,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,1
CMR,TGO,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,6,6,6,6,6,6,6,6,0
RWA,BEL,,,,,,,,,,,,,,,,,,,,,,1041,1041,1603,2100,2544,2094,1661,1591,1795,1929,1833,1350,1108,1046
MDG,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
DEU,SWE,,,,,,,,,,,,,,,,,4,4,8,8,8,8,8,8,,9,5,5,1,1,1,2,2,6,6
GUY,BEL,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
EGY,GRC,,,,,,,,,,,,,,,,,,,5,5,,,,,,,2,2,2,2,1,2,2,3,3
CMR,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
ARM,BGR,,,,,,,,,,,,,,,,,,,75,79,79,79,,,,,,,,7,10,17,20,25,30
NGA,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
PAK,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
MMR,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,94,101,103,106,107,180,388,13,13,14
*PA,GHA,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,
HUN,BEL,,,,,,,,,,,,,,,,,,,,,,1264,1264,3,314,,259,221,196,169,147,133,127,112,103
GIN,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,6,7,7,6
MDG,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,5,23,21,21,15
MKD,BRA,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,5,6,5,5,6
PAK,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,2,2,2
ZWE,BWA,80,1100,4000,17760,22530,160,190,,3200,3760,4250,3150,3780,624,,1,120,,,,,,,,,3,4,26,23,24,87,87,96,808,860
BDI,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
CMR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,38,72,101,125,129,156,160,167
COG,ROU,,,,,,,,,,,,,,,,,,,,,,,,14,24,21,32,34,47,48,53,55,56,43,36
UZB,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,7,10,10
MOZ,UKR,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,1,1,1,1
CHN,USA,,,,,,,,,,,,,,229,368,1025,1355,1606,1852,2111,2294,2477,3509,5418,7499,11148,17105,23696,21300,18957,26131,41007,45194,47277,51480
HND,ITA,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,2
IND,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
EST,NLD,,,,,,,,,,,,,,,,,,,,1,2,4,9,9,,9,9,9,9,8,8,5,,,
SYR,SWE,,,,,,,,,,,,,,,,1796,2679,3157,3216,3384,3312,3240,3165,3014,2420,2028,1268,970,1048,940,1032,1065,1081,1084,1118
ITA,CHE,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,5,4,1,3,3,1,1,3
SOM,IRQ,,,,,,,,,,,,1000,,,,,,,,,,317,313,313,313,313,313,,,,,,2,,
URY,FRA,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,
NAM,NGA,,50,50,,,,,50,70,,120,120,120,130,100,70,50,,15,7,,,,,,,35,35,35,35,,,,,
KEN,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
CMR,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MDA,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,79,139,177,190,199,212,221,227
KEN,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
MNE,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
ECU,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,98,91,73,160,154,127
KEN,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11,12,12,14,22,32,32,36
SYR,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4
SVK,ETH,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PAK,HKG,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,12,66,68,13,22,18,15,16,18
LBY,JOR,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,1,1,1,1,1,1,1,1,2,0
SOM,FRA,,,,,,,,,,,,,,,,,,,,,,496,512,541,567,589,543,563,543,567,587,612,650,686,835
FJI,USA,,,,,,,,,,,,,,,,1,1,19,89,118,200,283,299,257,290,370,680,878,762,835,906,1207,1248,1281,1279
CMR,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ERI,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,12,15,26,41
CAF,HKG,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CRI,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,,,1,9,10,14,15,15,16
ARM,CZE,,,,,,,,,,,,,,,,,,,,,,105,109,109,97,68,59,59,77,82,83,81,85,84,83
KGZ,SWE,,,,,,,,,,,,,,,,,,,,,,3,3,4,,7,7,27,32,50,100,102,135,138,146
BDI,ERI,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
HND,CUB,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,
KGZ,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106,2242,2275,1961,868,1213,1370,1358
UZB,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,10,15
PAN,MEX,,,,,,,,,,,,,,,,,,,26,26,,,12,,,,,,,,,,,,
LKA,VEN,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
MWI,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,2,5,4,5,2
MAR,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
NPL,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5
SEN,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CIV,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,
IRQ,KWT,,,,,,,,,,100,100,,,,,,20000,19879,20000,19990,10989,1988,1601,1743,1816,1200,304,419,417,418,422,49,30131,30193,175
BIH,AUT,,,,,,,,,,,,,,,,,,,,,,74131,69885,68087,66869,1398,1402,1255,726,581,231,200,171,205,206
*ST,COL,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NIC,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,6,6,6,6,2,2
ZWE,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,20
MOZ,ZAF,,,,,,,,,,,,,,,,,,,250000,90000,,,,,,,1,1,1,1,,,,,
GIN,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,9,8,8,5,2,5,6,7
*TB,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,38,38,38,,,,
SDN,UZB,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
GIN,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
LCA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,5,0
BTN,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
MMR,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,6,5,9
LBY,GHA,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,,,,,
TJK,SWE,,,,,,,,,,,,,,,,,,8,8,14,18,22,26,29,,36,42,44,47,45,42,41,54,52,48
ETH,AUT,,,,,,,,,,,,,,,,,,,,,,,,50,52,55,46,40,54,70,76,87,90,98,113
BDI,BEN,,,,,,,,,,,,,,,,,,,8,,11,29,38,59,95,111,132,134,132,118,110,46,37,35,33
IRQ,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
GTM,BOL,,,,,,,,,,,120,120,,,,,,,44,44,44,44,,,,,,,,,,,,,
AGO,BEL,,,,,,,,,,,,,,,,,,,,,,449,449,295,454,338,309,213,166,134,122,126,133,128,109
SDN,ZWE,,,,,,,,,,,,,,,,,,,22,26,49,73,107,151,149,34,97,105,123,201,,,40,11,27
LBY,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TGO,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,17,17,20
SLE,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
GUY,CAN,,,,,,,,,,,,,,,,,,,,69,58,47,29,28,,22,36,39,49,129,311,407,537,569,591
IND,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532,3158,3182,5947,2041,1849,1827,2879
HTI,BEL,,,,,,,,,,,,,,,,,,,,,,,,21,10,16,9,6,6,5,5,6,9,8,8
JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,9,9,9,11
ERI,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,5
IRN,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,11,9,5,,,3,1,1
SYR,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
ROU,ZWE,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
COL,AUS,,,,,,,,,,,,,,,,,,,,,,13,37,94,137,185,235,251,212,165,134,94,265,219,191
MDV,USA,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,3,3,3,5
SYR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
NER,AUS,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,8,1,1,,,,2,2,1
CHL,GBR,,,,,,,,,,,,,,18,18,12,10,6,,,,,,,,,,,,,,,,,
CMR,NLD,,,,,,,,,,,,,,,,,,3,3,3,10,18,19,26,,35,47,82,103,128,156,189,204,207,215
ROU,VEN,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
MNE,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,16,23
BLR,DNK,,,,,,,,,,,,,,,,,,,,,,,1,13,24,25,23,26,34,39,39,38,39,37,30
TCD,SWE,,,,,,,,,,,,,,,,,5,12,13,14,14,14,14,15,,15,11,4,7,6,6,11,6,5,8
LKA,BLR,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
EGY,KOR,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MWI,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
GIN,PRT,,,,,,,,,,,,,,,,,,,,,,2,2,2,,2,3,3,3,3,3,3,3,8,8
PHL,GRC,,,,,,,,,,,,,,,,,,,8,8,,,,,,,7,,,,,,,,
SLV,ESP,,,,,,,,,,,,,,,,,17,13,13,12,6,1,1,1,1,1,1,1,1,,,,,,
CMR,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
YEM,SYR,,,,,,,,,,,,,,,,,,,,,,250,622,695,728,748,662,143,93,85,85,85,53,54,18
COG,UKR,,,,,,,,,,,,,,,,,,,,,,23,108,121,125,109,120,120,115,96,92,89,85,44,27
LBR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,15,26,39,40,40,44,46,42
HTI,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2
CAF,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,245,1582
CUB,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NGA,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
MAR,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,4,3
ZWE,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
IDN,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,8,,,406
ESH,DZA,20000,35000,50000,50000,50000,50000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,90000,90000,90000,90000,90000
NGA,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4
MYS,SWE,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,6,,9,6,7,7,13,13,13,11,8,5
ESP,TUN,,,,,,,,,,,,,,,,,,,,,,7,4,4,2,1,1,1,1,,,,,,
NPL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,5
RUS,NOR,,,,,,,,,,,,,,,,,,,,,,,34,40,78,104,245,457,1204,2249,2694,3034,3552,3790,3969
MRT,ARG,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1
CAF,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
LBR,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,815,788,744,227,258,252,357
DZA,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SDN,AUT,,,,,,,,,,,,,,,,,,,,,,,,20,24,29,33,42,58,79,108,135,151,163,171
UGA,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
MRT,HUN,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,1,1,1,1,1
VEN,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
*VA,URY,,,2000,2000,2000,1700,1700,60,150,,110,70,110,110,110,87,81,90,,1,,,3,7,6,2,5,,13,13,13,16,15,17,17
UKR,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RUS,GRC,,,,,,,,,,,,,,,,,,,10,10,,,,,,,23,9,9,9,16,18,18,18,18
ZWE,NLD,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,2,6,6,10,13,18,24,30
BGD,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
MAR,HUN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,2,3,2,2
GMB,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,11,11,16,18,21,25
*ST,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,16,16,20
NPL,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SUR,NLD,,,,,,,,,,,,,,,,,,855,855,868,801,734,645,453,,269,168,38,38,25,20,8,5,5,5
ARM,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,23,26,27,21
SOM,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
PRK,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,13
TUR,AUS,,,,,,,,,,,,,,,,,,,,,,216,299,403,603,655,597,662,585,399,355,257,428,372,246
DOM,ITA,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
MAR,UKR,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
ARM,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4
TCD,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1
COM,AUS,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
IRN,ITA,,,,,,48,83,210,607,1304,1695,2111,2452,2661,2770,2755,2730,2615,2227,1629,1271,914,619,436,7,457,538,575,585,523,524,553,580,617,694
DOM,USA,,,,,,,,,,,,,,,,,,,,,,2,3,5,5,4,,,13,17,18,22,27,29,33
ERI,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MRT,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,67,68,57,33,32,36,47
BDI,ITA,,,,,,2,2,2,2,2,2,1,1,,,,,,,5,14,24,37,37,,47,47,47,47,43,41,24,15,19,16
NER,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BDI,TUN,,,,,,,,,,,,,,,,,,,,,,11,11,7,7,7,8,8,8,7,4,4,4,4,4
SYR,ISR,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,,,,1,2,2,2,1,0
IRN,GTM,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
TGO,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,
BIH,JOR,,,,,,,,,,,,,,,,,,100,388,265,179,93,88,22,23,15,13,13,13,12,12,12,12,12,12
CMR,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1
ETH,LBN,,,,,1100,1400,1000,1000,1000,1000,500,1500,,,,,,,,,,,,,,,7,3,3,3,,,15,19,16
TGO,USA,,,,,,,,,,,,,,,,,,,,,,180,263,363,544,1070,1407,1634,1790,1994,2173,3404,2437,2433,2419
ERI,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MWI,NLD,,,,,,,,,,,,,,,,,,,,,,3,3,3,,3,4,4,4,4,1,1,1,1,1
MKD,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
HKG,CAN,,,,,,,,,,,,,,,,,,,,257,179,102,47,39,,10,4,2,,,,1,1,1,1
ARG,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CMR,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,1,1,3
UGA,BHR,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
SOM,CHL,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,
MDA,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,19,32,55,80,111,121
KEN,CAF,,,,,,,,,,,,,,,,,,,3,2,,,2,2,2,2,2,2,,1,1,1,1,,
SLE,MEX,,,,,,,,,,,,,,,,,,,,,,,2,5,10,13,24,6,6,3,3,3,1,1,1
TKM,RUS,,,,,,,,,,,,,,,,,,,,,,2882,3107,1450,901,128,109,69,56,,,,2,5,12
LBR,SWZ,,,,,,,,,,,,,,,,,,,12,11,,,6,6,6,27,27,27,36,36,36,36,36,36,36
SDN,NGA,,,,,,,,,,,,,,,,,,,41,66,69,72,105,68,74,78,72,80,102,104,173,181,172,188,178
AFG,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TUR,CYP,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,19,32,52,59,76,98,119
ARM,PER,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1
IND,SVK,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,
PAN,ECU,,,,,,,,,,,,,,,,,,,28,8,,,4,4,4,4,1,,,,,,2,2,2
LKA,NGA,,,,,,,,,,,150,160,160,60,,,,,22,21,,,20,20,,,24,24,24,24,12,13,13,13,16
PER,SWE,,,,,,,,,,,,,,,,191,379,487,675,1077,1142,1207,1343,1523,1492,1396,1239,1132,951,564,500,454,307,133,128
NER,BFA,,,,,,,,,,,,,,,,,,,269,,,,1,1,1,1,,,,,,,,,
CHL,AUT,,,,,,,,,,,,,,,,,,,,,,,,15,11,11,6,4,2,2,2,2,,,
ARM,MEX,,,,,,,,,,,,,,,,,,,,1,,,1,2,3,3,3,,,,1,1,,,
NGA,MYS,,,,,,,,,,,,,,,,,,,2,1,,,,1,1,1,1,2,1,1,1,1,2,1,2
GMB,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
EGY,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ETH,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LAO,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,421,315,246,151,173,171,173
TCD,EGY,,,,,,,,,,,,,,,,,,,1,,,5,5,,,,1,2,7,7,8,9,12,16,16
CHN,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,2,2
MNG,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,5,5
UZB,TUR,,,,,,,,,,,,,,,,,,,,,,,10,17,12,8,13,15,15,12,24,5,63,37,49
AFG,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
ISR,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,4,4
HRV,DNK,,,,,,,,,,,,,,,,,,,7,7,7,7,13,19,119,122,92,102,95,85,16,13,13,13,7
COG,NZL,,,,,,,,,,,,,,,,,,,,,,,,1,,1,8,8,8,8,12,101,12,13,15
CZE,GBR,,,,,,,,,,,,,,102,96,73,41,24,14,,,,,,,20,25,85,115,120,120,120,120,120,120
TJK,DNK,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,6,6,6,6,6,6,1,1,0
KAZ,UKR,,,,,,,,,,,,,,,,,,,,,,,,19,11,16,17,17,17,3,3,8,5,5,7
POL,URY,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
HTI,CIV,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
EST,AUS,,,,,,,,,,,,,,,,,,,,,,2,5,6,6,5,4,1,,,,,1,,0
VCT,CAN,,,,,,,,,,,,,,,,,,,,7,10,13,13,24,,48,67,81,105,181,279,386,644,748,847
ALB,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
UGA,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
SAU,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,0
JOR,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
JOR,BEL,,,,,,,,,,,,,,,,,,,,,,,,18,6,16,6,6,5,10,12,4,5,6,13
ZMB,SWE,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,2,2,2,2,1,1
IND,NZL,,,,,,,,,,,,,,,,,,,,,,12,12,12,,6,3,6,7,8,10,8,11,12,12
TUR,NZL,,,,,,,,,,,,,,,,,,,,,,4,4,4,,4,9,15,23,26,27,26,15,18,18
LVA,SWE,,,,,,,,,,,,,,,,,,4,4,7,11,15,15,15,,15,18,14,18,15,7,7,7,14,14
MLI,ROU,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
KGZ,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TCD,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,8,8,8,21
IRQ,MAR,,,,,,,,,,,,,,,,,,,,,,7,7,,,25,21,23,24,24,9,10,112,135,157
BEN,UKR,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,0
LKA,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
PAK,JPN,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,9,14,14,13,13,13,12,12
CIV,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,5,6,7,7,7,7
COG,RWA,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,
SOM,ITA,,,,,,34,34,38,39,39,40,32,22,64,544,583,660,716,10718,10720,10360,10000,10720,680,389,160,115,74,94,598,814,948,1701,5251,7747
DZA,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,,,,,,,,
ERI,DNK,,,,,,,,,,,,,,,,,,,,,,,,,25,31,24,28,39,54,56,55,15,18,21
MRT,CAN,,,,,,,,,,,,,,,,,,,,16,20,24,24,28,,15,15,20,30,69,129,229,231,254,268
SYR,BEL,,,,,,,,,,,,,,,,,,,,,,238,238,105,116,102,47,31,19,80,115,100,114,152,177
LBR,UGA,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,6,8,1,1,,3,3
RWA,CAF,,,,,,,,,,,,,,,,,,,19,245,215,185,1449,436,440,462,401,238,251,241,269,276,242,291,329
ETH,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,
SYR,EGY,,,,,,,,,,,,,,,,,,,3,5,,,2,,,,2,2,6,1,2,4,4,9,9
