Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ZAF,GMB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
CMR,USA,,,,,,,,,,,,,,,,,,19,45,119,271,423,547,755,1006,1376,1849,2759,2962,3414,4684,6713,7068,7279,7420
BFA,SWE,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,6,,,,1,1,1,1,2,2
BEN,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,9,6,12,21,25
MEX,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
YEM,GBR,,,,,,,,,,,,,,1,1,5,10,10,10,10,10,10,10,10,,5,,,33,48,65,75,88,109,141
GEO,AUS,,,,,,,,,,,,,,,,,,,,,,8,8,2,7,8,14,16,16,11,9,3,14,14,10
RUS,KAZ,,,,,,,,,,,,,,,,,,,,,,6000,548,532,7043,12671,11895,13695,13684,13684,5000,3713,3692,3692,3692
MEX,FRA,,,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,5,,5,5
ZWE,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,10,14,14,16
KWT,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
GHA,BEL,,,,,,,,,,,,,,,,,,,,,,112,112,69,47,55,17,7,7,6,4,8,4,4,8
*PA,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,85,116,122,122,122,141
LKA,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,
ESH,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
COD,KEN,,,,,,,,,,,,,,60,,,200,,,,,206,139,388,251,251,1297,1134,1153,2367,2306,2385,2674,2927,3608
MDA,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,95,245,264,278,287,289,293
CPV,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,
TCD,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,10,2,2,2,4,5
CAF,FRA,,,,,,,,,,,,,,,,,,,,,,61,61,63,65,82,118,220,309,383,440,468,497,530,565
RUS,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,7,7,7,7
POL,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2
PAK,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
ARG,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
PAK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
IRN,FIN,,,,,,,,,,,,,,,,,,,,,,,,1526,1812,2496,2550,1222,1402,1569,1683,1806,238,260,278
FRA,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
TCD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,49,37,46,29,33,34,39
DZA,CHE,,,,,,,,,,,,,,,,,,,,,,26,115,42,172,186,217,226,254,284,297,265,242,217,211
AGO,MYS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CMR,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
UZB,USA,,,,,,,,,,,,,,,,,,,,,,119,169,240,1108,1853,2634,3161,3260,3017,2810,5202,1423,1568,1697
CPV,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SOM,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RWA,NOR,,,,,,,,,,,,,,,,,,,,,,,55,144,196,207,253,307,344,367,408,444,150,158,156
DZA,IDN,,,,,,,,,,,,,,,,,,,,,,4,,3,2,2,2,5,3,4,,,,,
